college_img,college_name,college_loc,college_course,college_fees,Minority,Open,AllIndia
"https://images.static-collegedunia.com/public/college_data/images/appImage/5663_RCOA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Rizvi College of Architecture, Mumbai","Mumbai, Maharashtra",B.Arch ,"1,30,000",120.86,146.98,163.8
"https://images.static-collegedunia.com/public/college_data/images/appImage/5680_SJJA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Sir JJ College of Architecture - [SJJCA], Mumbai","Mumbai, Maharashtra",B.Arch ,"17,385,",0,157.65,148.66
"https://images.static-collegedunia.com/public/college_data/images/appImage/1587187529567446614912461580895842448414633288007680n.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","MGM University - [MGMU], Aurangabad","Aurangabad, Maharashtra",B.Arch ,"1,50,000",0,137.74,137.56
"https://images.static-collegedunia.com/public/college_data/images/appImage/5679_SINGHADARCH_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Sinhgad College of Architecture - [SCOA], Pune","Pune, Maharashtra",B.Arch ,"1,25,000",0,125.75,130.18
"https://images.static-collegedunia.com/public/college_data/images/appImage/5544_BKPSCOA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharatiya Kala Prasarini Sabha's College of Architecture - [BKPS], Pune","Pune, Maharashtra",B.Arch ,"25,000,",0,148.49,132.73
"https://images.static-collegedunia.com/public/college_data/images/appImage/5607_Kamla.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Kamla Raheja Vidyanidhi Institute of Architecture and Environmental Studies - [KRVIA], Mumbai","Mumbai, Maharashtra",B.Arch ,"1,80,000",0,158.58,159.17
"https://images.static-collegedunia.com/public/college_data/images/appImage/5574_BNCA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr. Bhanuben Nanavati College of Architecture for Women - [BNCA], Pune","Pune, Maharashtra",B.Arch ,"1,80,000",0,127.96,135.68
"https://images.static-collegedunia.com/public/college_data/images/appImage/5543_CL.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth College of Architecture - [BVCA], Pune","Pune, Maharashtra",B.Arch ,"1,10,000",0,133.31,132.96
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498210396149811312114949091081446285037MUNEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","CTES College of Architecture - [CTESCOA], Mumbai","Mumbai, Maharashtra",B.Arch ,"1,46,278",0,132.1,130.46
"https://images.static-collegedunia.com/public/college_data/images/appImage/1496646787fcgchgvhgvhvbjb.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Thakur School of Architecture and Planning - [TSAP], Mumbai","Mumbai, Maharashtra",B.Arch ,"2,14,840",92,140.42,144.4
"https://images.static-collegedunia.com/public/college_data/images/appImage/1497525681dddddddddddddddddddddddddddddddddddddd.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Ayojan School of Architecture and Design - [ASAD], Pune","Pune, Maharashtra",B.Arch ,"4,70,000",0,133.53,131.79
"https://images.static-collegedunia.com/public/college_data/images/appImage/1497415538ccccccccccccccc.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Lokmanya Tilak Institute of Architecture and Design Studies - [LTIADS], Navi Mumbai","Mumbai, Maharashtra",B.Arch ,"1,05,000",95.21,133.86,130.31
"https://images.static-collegedunia.com/public/college_data/images/appImage/16300394255.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Anantrao Pawar College of Architecture - [APCOA], Pune","Pune, Maharashtra",B.Arch ,"1,27,000",0,123.96,122.94
"https://images.static-collegedunia.com/public/college_data/images/appImage/1619943896Cover.jpeg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Smt. Manoramabai Mundle College of Architecture - [SMMCA], Nagpur","Nagpur, Maharashtra",B.Arch ,"1,10,380",98.04,128.52,125.27
"https://images.static-collegedunia.com/public/college_data/images/appImage/1497592260vvvvvvvvvdfd.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Indira College of Architecture and Design - [ICAD], Pune","Pune, Maharashtra",B.Arch ,"1,50,000",0,125.13,123.4
"https://images.static-collegedunia.com/public/college_data/images/appImage/149811312114949091081446285037MUNEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","B.R. Harne College of Architecture Vangani, Thane","Thane, Maharashtra",B.Arch ,"1,10,000",0,116.16,115.67
"https://images.static-collegedunia.com/public/college_data/images/appImage/5652_PRCOA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Pravara Rural College of Architecture Loni, Ahmed Nagar","Nagar, Maharashtra",B.Arch ,"90,000,",0,124.5,119.92
"https://images.static-collegedunia.com/public/college_data/images/appImage/5683_AWIA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","St Wilfreds Institute of Architecture, Navi Mumbai","Mumbai, Maharashtra",B.Arch ,"1,30,000",0,126.1,124.4
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498134656Capturedddddddddddddddddddddddddddddddddddddddddd.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shri Datta Meghe College of Architecture - [SDMCA], Nagpur","Nagpur, Maharashtra",B.Arch ,"1,30,000",0,115.71,117.84
"https://images.static-collegedunia.com/public/college_data/images/appImage/5626_MMARCH_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Marathwada Mitramandal's College of Architecture, Pune","Pune, Maharashtra",B.Arch ,"1,71,000",0,122.52,122.21
"https://images.static-collegedunia.com/public/college_data/images/appImage/1497518240CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Radhikatai Pandav Institute of Architecture, Nagpur","Nagpur, Maharashtra",B.Arch ,"1,00,000",0,111.52,115.36
"https://images.static-collegedunia.com/public/college_data/images/appImage/1497587250dxfvvvvv..png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Yashoda College of Architecture - [YCA], Satara","Satara, Maharashtra",B.Arch ,"1,21,000",0,113.51,114.04
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498123987vvvvvvvvvvvvvvvvvvvvv.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Vidya Pratishthan’s School of Architecture - [VPSOA], Baramati","Baramati, Maharashtra",B.Arch ,"1,14,124",0,132.6,133.13
"https://images.static-collegedunia.com/public/college_data/images/appImage/28385_ANJUMANIISLAM_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Anjuman-I-Islam's Kalsekar Technical Campus - [AIKTC], Navi Mumbai","Mumbai, Maharashtra",B.Arch ,"1,48,500",99.06,121.65,126.89
"https://images.static-collegedunia.com/public/college_data/images/appImage/1627016813CoverPhoto.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Vidyavardhan's Institute of Design Environment and Architecture - [IDEA], Nashik","Nashik, Maharashtra",B.Arch ,"1,15,000",0,120.44,120.08
"https://images.static-collegedunia.com/public/college_data/images/appImage/5611_Lsr cover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","L.S. Raheja School of Architecture - [LSRSA], Mumbai","Mumbai, Maharashtra",B.Arch ,"1,12,000",0,153.48,155.98
"https://images.static-collegedunia.com/public/college_data/images/appImage/5895_rachan_new.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Rachna Sansad School of Design, Mumbai","Mumbai, Maharashtra",B.Arch ,"52,100,",0,157.2,159.17
"https://images.static-collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Flora College of Architecture - [FCOA], Pune","Pune, Maharashtra",B.Arch ,"1,01,000",0,120.27,119.35
"https://images.static-collegedunia.com/public/college_data/images/appImage/57415_1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","MET's School of Architecture and Interior Design, Nashik","Nashik, Maharashtra",B.Arch ,"1,40,000",0,127.71,127.9
"https://images.static-collegedunia.com/public/college_data/images/appImage/1600950411download1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Appasaheb Birnale College of Architecture, Sangli","Sangli, Maharashtra",B.Arch ,"81,500",0,119.77,116.56
"https://images.static-collegedunia.com/public/college_data/images/appImage/1602569266th.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Aditya College of Architecture - [ACA], Mumbai","Mumbai, Maharashtra",B.Arch ,"1,84,500",94.62,146.15,149.54
"https://images.static-collegedunia.com/public/college_data/images/appImage/1607334768FBIMG1607318025478.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Jhulelal Institute Of Architecture - [JIA], Nagpur","Nagpur, Maharashtra",B.Arch ,"1,00,000",0,111.13,110.5
"https://images.static-collegedunia.com/public/college_data/images/appImage/1622718252VCAADCloseup.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Vishwaniketan College Of Architecture, Art & Design - [VCAAD], Khalapur","Khalapur, Maharashtra",B.Arch ,"1,05,000",0,116.23,121.09
"https://images.static-collegedunia.com/public/college_data/images/appImage/1486970786appimage1.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Priyadarshini Institute of Architecture and Design Studies- [PIADS], Nagpur","Nagpur, Maharashtra",B.Arch ,"1,26,000",97.21,113.71,111
"https://images.static-collegedunia.com/public/college_data/images/appImage/13305_1444627014DYPCET_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","DY Patil College of Engineering and Technology - [DYPCET], Kolhapur","Kolhapur, Maharashtra",B.Arch ,"99,618,",0,137.88,116.23
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498215413cccccccccccccccccccccccccccccccccccccc.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Institute of Design Education and Architectural Studies - [IDEAS], Nagpur","Nagpur, Maharashtra",B.Arch ,"1,08,000",93.04,103.23,119.32
"https://images.static-collegedunia.com/public/college_data/images/appImage/5594_IES_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","IES College of Architecture, Mumbai","Mumbai, Maharashtra",B.Arch ,"1,65,000",0,118.52,116.39
"https://images.static-collegedunia.com/public/college_data/images/appImage/1512732923FGGGGBHNBVKJHBK.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","NMIMS Balwant Sheth School of Architecture - [BSSA], Mumbai","Mumbai, Maharashtra",B.Arch ,"2,515,0",0,127.73,137.84
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498117472ccccccc.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","SMEF’s Brick School of Architecture, Pune","Pune, Maharashtra",B.Arch ,"1,36,000",0,112.19,125.64
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498199525ccccccccccccccc.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","School of Environment and Architecture - [SEA], Mumbai","Mumbai, Maharashtra",B.Arch ,"1,70,000",0,122.55,129.54
"https://images.static-collegedunia.com/public/college_data/images/appImage/5537_1445346414ASMITAARCH_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Asmita College of Architecture, Thane","Thane, Maharashtra",B.Arch ,"1,20,000",0,126.21,134.41
"https://images.static-collegedunia.com/public/college_data/images/appImage/5573_DRHIRARCH_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr Baliram Hiray College of Architecture, Mumbai","Mumbai, Maharashtra",B.Arch ,"91,000,",0,130.42,116.21
"https://images.static-collegedunia.com/public/college_data/images/appImage/5527_AIAM_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Academy of Architecture - [AIA], Mumbai","Mumbai, Maharashtra",B.Arch ,"1,70,000",0,124.21,120.27
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498037238cccavbsdh.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","S.B. Patil College of Architecture and Design - [SBPCOAD], Pune","Pune, Maharashtra",B.Arch ,"1,18,000",0,157.23,114.58
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498195391timthumb.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Samyak Sankalpa College of Architecture, Thane","Thane, Maharashtra",B.Arch ,"75,000,",0,128.25,131.09
"https://images.static-collegedunia.com/public/college_data/images/appImage/5695_VSA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Viva School of Architecture - [VSA], Palghar","Palghar, Maharashtra",B.Arch ,"1,30,600",90.06,116.17,123.93
"https://images.static-collegedunia.com/public/college_data/images/appImage/1497424580ccccccccccccccccccccccccccccc.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Pillai HOC College of Architecture - [PHCOA] Rasayani, Raigarh","Raigarh, Maharashtra",B.Arch ,"1,17,000",0,139.34,141.66
"https://images.static-collegedunia.com/public/college_data/images/appImage/1623996642coarcpunehomepage.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth College of Architecture - [BVCOA] Navi Mumbai, Mumbai","Mumbai, Maharashtra",B.Arch ,"1,00,000",0,129.72,130.44
"https://images.static-collegedunia.com/public/college_data/images/appImage/1497598692KP549bad9a0d2a0.jpeg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Trinity College of Architecture - [TCOA], Pune","Pune, Maharashtra",B.Arch ,"1,27,000",0,128.49,151.76
"https://images.static-collegedunia.com/public/college_data/images/appImage/5690_TGPCA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Tulsiramji Gaikwad-Patil College of Architecture - [TGPCA], Nagpur","Nagpur, Maharashtra",B.Arch ,"1,15,000",0,155.68,130.21
